Epics,,,,,,,,
High-level workstreams. Each epic owns multiple stories on the Stories sheet.,,,,,,,,
ID,Epic,Owner,Target milestone,Status,Stories total,Stories done,% complete,Notes
E1,Agent runtime core,Eng #1,MVP M6,In progress,,,,"Hot path: TurnExecutor, streaming, budgets, idempotency"
E2,LLM Gateway,Eng #1,MVP M6,Not started,,,,"Multi-provider, semantic cache, cost accounting"
E3,MCP / Tool layer,Eng #1,MVP M6,Not started,,,,"Auto-MCP, Firecracker sandboxes, allow-lists"
E4,Memory tiers,Eng #1,MVP M6,Not started,,,,User/session/scratch + episodic at M7
E5,KB / RAG engine,Eng #1,MVP M6,Not started,,,,PDF/web/Notion + hybrid retrieval + vision
E6,Channel adapters,Eng #7,Rolling,Not started,,,,"Web, Slack, WhatsApp, SMS first"
E7,Voice subsystem,Eng #3,MVP M6,Not started,,,,WebRTC + STT + TTS + barge-in. Sub-700ms p50
E8,Eval harness,Eng #4,MVP M6,Not started,,,,"8 scorers, replay, registry"
E9,Observability backend,Eng #4,MVP M6,Not started,,,,OTel + ClickHouse + Studio dashboards
E10,Studio (UI),Eng #5,MVP M6,Not started,,,,"Conversations, traces, replay, costs"
E11,CLI & SDKs,Eng #1+5,MVP M6,Not started,,,,"Python core, Go CLI; TS gen later"
E12,Cloud control plane,Eng #2,MVP M6,Not started,,,,"Auth, billing, deploy, multi-tenant"
E13,Self-host (docker-compose + Helm),Eng #2,M7,Not started,,,,"Compose at MVP, Helm at M7"
E14,Multi-agent orchestration,Eng #1,M9,Not started,,,,"Supervisor, Pipeline, Parallel, AgentGraph"
E15,HITL / Operator inbox,Eng #5,M7,Not started,,,,"Takeover, shared inbox, CRM connectors"
E16,Security & compliance (SOC2 Type 1),Sec eng,M12,Not started,,,,"Vanta, audit log, RLS, KMS"
E17,Docs site & DevRel,Eng #6,Rolling,Not started,,,,"Quickstart, API ref, examples"
E18,MCP marketplace,Eng #6,M6,Not started,,,,"25 servers at MVP, 200 by M12"
E19,Pricing & billing,Eng #2,M6,Not started,,,,Stripe + 3-meter + cap rules
E20,"Enterprise (SSO, audit UI, on-prem parity)",Eng #2+sec,M12,Not started,,,,"SAML, residency, BYOK"
